Sitio,Depth Group,Fecha,Profuidad (m),Temp. (°C),Chl a (µg/l),Ph (Unidad),Turbidity (NTU),DO (mg/L),TDS (mg/l),DBO (mg/l),Sechi  (m),NO3 (µg/L),PO4 (µg/L),NH4 (µg/L),PT (µg/l),NT (µg/l)
SA,0-10 m,2018-12-12 00:00:00,4.5,21.48715446,1.810013347,8.676075216,0.885778543,6.255746615,63.90109674,1.985159772,5.983163104,34.36546553,0,15.43586999,17.7018388,30.40615376
SA,0-10 m,2019-02-12 00:00:00,4.5,20.70249019,5.687332725,8.497697246,0.709077512,7.63,6.474013426,1.793733903,5.665211006,4.783004701,2.44,3.190909091,4.72173913,20.88475753
SA,0-10 m,2019-03-12 00:00:00,4.5,21.21877372,7.814047928,8.708772872,0.789816791,7.488,304.6,2.361024197,5.417287444,2.32,2.06,1.391111111,3.173913043,5.520207953
SA,0-10 m,2019-04-09 00:00:00,4.5,21.52861238,3.341801617,8.753406545,0.634927431,7.605,304.9,2.532776454,6.000875055,0.88,1.6,1.508571429,3.275818861,13.93352287
SA,0-10 m,2019-05-14 00:00:00,4.5,23.30046824,1.760399615,8.716161318,0.380444294,7.410947675,320.8,3.683310917,5.892043122,0.374545455,2.1,2.956521739,12.99885783,7.316897612
SA,0-10 m,2019-06-12 00:00:00,4.5,23.62479373,1.336600742,8.81140297,0.414957305,7.246239339,318.5,3.652511248,5.751737859,0.212307692,0.68125,4.005405405,4.272405705,6.975771407
SA,0-10 m,2019-07-12 00:00:00,4.5,23.44526641,2.348391235,8.783167603,0.657448253,6.945812312,245,3.155798882,5.075344086,0.682051282,1.98,1.041860465,3.727272727,11.42841475
SA,0-10 m,2019-08-13 00:00:00,4.5,23.85895613,1.300874127,8.807352946,0.34398524,7.182337049,0,3.639382602,5.775024556,0.672727273,2.96,2.695652174,2.72173913,9.55618836
SA,0-10 m,2019-09-10 00:00:00,4.5,23.77249476,1.707013521,8.903791597,0.531225642,7.233249345,244.9638226,2.937494687,5.450447273,0,0,15.43586999,17.7018388,11.65012693
SA,0-10 m,2020-02-11 00:00:00,4.5,21.33902148,6.817775079,8.714403032,0.618164367,7.648947033,243.6932082,2.082448877,5.193940674,2.247058824,2.2,0,2.581818182,17.06675369
SA,0-10 m,2020-05-12 00:00:00,4.5,23.53035793,2.074522138,8.711675064,0.339207368,7.420083736,247,3.226093438,5.319949251,0.6583675,0.504929032,3.747827451,3.116666667,11.11048049
SA,0-10 m,2020-06-09 00:00:00,4.5,23.28527304,2.768513302,8.626713765,0.255911397,7.420047205,244,3.051547233,5.060496895,0.517660819,0.91308,2.291679254,2.281818182,10.48523866
SA,0-10 m,2020-07-14 00:00:00,4.5,23.73168301,3.360208299,8.605098356,0.566474175,7.464983796,243,3.349695381,4.928922293,0.352922876,2.97838,1.939025455,2.014285714,3.85576399
SA,0-10 m,2020-08-11 00:00:00,4.5,24.00258445,1.674829308,8.697487095,0.477792412,6.979406405,243,3.298119247,5.195524998,0.439949701,2.13052,4.244377808,3.818518519,10.93004969
SA,0-10 m,2020-09-08 00:00:00,4.5,23.56781587,1.482193204,8.616837645,0.486840568,7.003987218,242,3.156625141,5.300674692,1.159917241,2.328985161,3.457564444,0.927659574,15.0676435
SA,0-10 m,2020-10-13 00:00:00,4.5,23.6845226,1.362731185,8.632666992,0.38176812,7.022828493,239.6650822,3.228174251,5.429618004,0.5255875,1.47832,1.499364103,1.027272727,15.10113973
SA,0-10 m,2020-11-10 00:00:00,4.5,22.68513225,9.514661015,8.456654151,1.024259586,7.389346681,242.2948632,2.730796394,4.177085637,0.365882667,0.899586207,1.508033333,2.544,0
SA,0-10 m,2020-12-08 00:00:00,4.5,21.89535406,2.346159693,8.149125623,0.626169631,6.66343494,243.4204056,2.31906426,5.514049842,0.775407752,2.44575,4.95075,0.963636364,25.73969652
SA,0-10 m,2021-01-19 00:00:00,4.5,21.31809329,2.684077607,8.102161822,0.497584687,7.066336863,229.7943286,1.892197839,5.682672595,42.62299104,0.251986364,6.640928,1.162790698,49.30643357
SA,0-10 m,2021-02-16 00:00:00,4.5,21.04430227,3.379432069,8.412557159,0.482661366,7.026148467,246.1698608,1.860147384,5.820377096,17.59944791,1.292753571,1.45728,1.482608696,25.72717023
SA,0-10 m,2021-03-16 00:00:00,4.5,21.21687268,3.135489515,8.617984164,0.658519329,7.037071882,247.8457622,1.822872762,5.517263115,10.8764923,4.58714,4.857509914,1.570833333,24.73464761
SA,0-10 m,2021-04-13 00:00:00,4.5,21.49837767,3.146443226,8.617276118,0.528073708,7.409080996,247.8586698,1.94879983,5.443286192,0.540316883,4.348,6.008931579,2.269565217,21.49101951
SA,0-10 m,2021-05-11 00:00:00,4.5,22.71575841,1.430658736,9.196334671,0.600089707,7.417648661,246,2.381521875,5.13643903,0.100211321,2.08704,18.5932,4.564461538,41.9740755
SA,0-10 m,2021-06-08 00:00:00,4.5,23.97214504,1.406487398,8.701769713,0.585581369,7.473341919,245.3,3.30670231,5.236129752,5.101547368,19.46080645,1.410945455,2.688888889,9.798378265
