location,depth_group,date,feature,original_value,z_score,replacement_value
WP,30m+,2016-10-08,secchi,9.55,2.0251031654170695,6.3
WP,30m+,2017-04-19,secchi,11.4,3.1142953777202216,7.1
WP,30m+,2018-08-14,secchi,10.4,2.5255428305293286,7.875
WP,30m+,2022-08-02,secchi,10.1125,2.3562764732119468,4.7875
WP,30m+,2022-10-18,secchi,2.325,-2.2286339880371346,4.525
WP,30m+,2023-11-04,secchi,10.4,2.5255428305293286,4.925
SA,0-10m,2018-11-09,biochemical_oxygen_demand,0.3,-2.1968315067339192,2.1945890969999997
SA,0-10m,2018-12-12,biochemical_oxygen_demand,0.0,-2.557073816371476,2.5
SA,0-10m,2019-05-14,biochemical_oxygen_demand,4.2,2.4863185185543206,1.95
SA,0-10m,2019-08-13,biochemical_oxygen_demand,3.9,2.1260762089167633,3.35
SA,0-10m,2020-07-14,biochemical_oxygen_demand,4.2,2.4863185185543206,3.0999999999999996
SA,0-10m,2022-08-11,biochemical_oxygen_demand,3.9,2.1260762089167633,2.0999999999999996
SA,0-10m,2023-03-14,biochemical_oxygen_demand,4.1,2.3662377486751343,2.0197829305
SA,10-30m,2018-11-09,biochemical_oxygen_demand,0.3,-2.1968315067339192,2.1945890969999997
SA,10-30m,2018-12-12,biochemical_oxygen_demand,0.0,-2.557073816371476,2.5
SA,10-30m,2019-05-14,biochemical_oxygen_demand,4.2,2.4863185185543206,1.95
SA,10-30m,2019-08-13,biochemical_oxygen_demand,3.9,2.1260762089167633,3.35
SA,10-30m,2020-07-14,biochemical_oxygen_demand,4.2,2.4863185185543206,3.0999999999999996
SA,10-30m,2022-08-11,biochemical_oxygen_demand,3.9,2.1260762089167633,2.0999999999999996
SA,10-30m,2023-03-14,biochemical_oxygen_demand,4.1,2.3662377486751343,2.0197829305
SA,30m+,2018-11-09,biochemical_oxygen_demand,0.3,-2.1968315067339192,2.1945890969999997
SA,30m+,2018-12-12,biochemical_oxygen_demand,0.0,-2.557073816371476,2.5
SA,30m+,2019-05-14,biochemical_oxygen_demand,4.2,2.4863185185543206,1.95
SA,30m+,2019-08-13,biochemical_oxygen_demand,3.9,2.1260762089167633,3.35
SA,30m+,2020-07-14,biochemical_oxygen_demand,4.2,2.4863185185543206,3.0999999999999996
SA,30m+,2022-08-11,biochemical_oxygen_demand,3.9,2.1260762089167633,2.0999999999999996
SA,30m+,2023-03-14,biochemical_oxygen_demand,4.1,2.3662377486751343,2.0197829305
WG,0-10m,2015-04-14,biochemical_oxygen_demand,4.2,2.406104650666063,2.065841584
WG,0-10m,2015-11-08,biochemical_oxygen_demand,4.8,3.1096696785591083,1.75
WG,0-10m,2019-08-13,biochemical_oxygen_demand,3.9,2.0543221367195397,2.95
WG,0-10m,2019-12-07,biochemical_oxygen_demand,3.9,2.0543221367195397,2.4
WG,0-10m,2023-03-14,biochemical_oxygen_demand,0.3,-2.167068030638734,2.03399112
WG,0-10m,2023-11-04,biochemical_oxygen_demand,0.3,-2.167068030638734,1.777691562
WG,10-30m,2015-04-14,biochemical_oxygen_demand,4.2,2.406104650666063,2.065841584
WG,10-30m,2015-11-08,biochemical_oxygen_demand,4.8,3.1096696785591083,1.75
WG,10-30m,2019-08-13,biochemical_oxygen_demand,3.9,2.0543221367195397,2.95
WG,10-30m,2019-12-07,biochemical_oxygen_demand,3.9,2.0543221367195397,2.4
WG,10-30m,2023-03-14,biochemical_oxygen_demand,0.3,-2.167068030638734,2.03399112
WG,10-30m,2023-11-04,biochemical_oxygen_demand,0.3,-2.167068030638734,1.777691562
WG,30m+,2015-04-14,biochemical_oxygen_demand,4.2,2.406104650666063,2.065841584
WG,30m+,2015-11-08,biochemical_oxygen_demand,4.8,3.1096696785591083,1.75
WG,30m+,2019-08-13,biochemical_oxygen_demand,3.9,2.0543221367195397,2.95
WG,30m+,2019-12-07,biochemical_oxygen_demand,3.9,2.0543221367195397,2.4
WG,30m+,2023-03-14,biochemical_oxygen_demand,0.3,-2.167068030638734,2.03399112
WG,30m+,2023-11-04,biochemical_oxygen_demand,0.3,-2.167068030638734,1.777691562
WP,0-10m,2014-02-26,biochemical_oxygen_demand,0.6,-2.1321156304277915,2.038156359
WP,0-10m,2015-09-06,biochemical_oxygen_demand,0.6,-2.1321156304277915,2.25
WP,0-10m,2017-05-16,biochemical_oxygen_demand,4.8,2.136165890970833,3.7545454544999997
WP,0-10m,2019-12-03,biochemical_oxygen_demand,0.3,-2.436992881956265,2.25
WP,0-10m,2023-06-13,biochemical_oxygen_demand,5.1,2.441043142499306,4.1652496585000005
WP,10-30m,2014-02-26,biochemical_oxygen_demand,0.6,-2.1321156304277915,2.038156359
WP,10-30m,2015-09-06,biochemical_oxygen_demand,0.6,-2.1321156304277915,2.25
WP,10-30m,2017-05-16,biochemical_oxygen_demand,4.8,2.136165890970833,3.7545454544999997
WP,10-30m,2019-12-03,biochemical_oxygen_demand,0.3,-2.436992881956265,2.25
WP,10-30m,2023-06-13,biochemical_oxygen_demand,5.1,2.441043142499306,4.1652496585000005
WP,30m+,2014-02-26,biochemical_oxygen_demand,0.6,-2.1321156304277915,2.038156359
WP,30m+,2015-09-06,biochemical_oxygen_demand,0.6,-2.1321156304277915,2.25
WP,30m+,2017-05-16,biochemical_oxygen_demand,4.8,2.136165890970833,3.7545454544999997
WP,30m+,2019-12-03,biochemical_oxygen_demand,0.3,-2.436992881956265,2.25
WP,30m+,2023-06-13,biochemical_oxygen_demand,5.1,2.441043142499306,4.1652496585000005
SA,0-10m,2019-05-14,total_dissolved_solids,320.7272727,3.33140335937304,
SA,0-10m,2019-09-04,total_dissolved_solids,304.8181818,2.5632604440890154,268.89320785
SA,0-10m,2019-12-03,total_dissolved_solids,304.5454545,2.5500922785026634,
SA,0-10m,2019-12-06,total_dissolved_solids,318.4545455,3.221668660638412,274.77272725
SA,0-10m,2023-10-18,total_dissolved_solids,300.0,2.3306228762050822,249.9692489
SA,10-30m,2019-05-14,total_dissolved_solids,322.85,3.3963491074051,
SA,10-30m,2019-09-04,total_dissolved_solids,305.9222222,2.5642313926738822,270.0929911
SA,10-30m,2019-12-03,total_dissolved_solids,305.3,2.5336448548993236,
SA,10-30m,2019-12-06,total_dissolved_solids,321.5,3.3299872418277316,276.05414395
SA,10-30m,2023-10-18,total_dissolved_solids,300.0,2.273113086336325,250.64100245
SA,30m+,2019-05-14,total_dissolved_solids,324.7894737,3.3934475403954347,
SA,30m+,2019-09-04,total_dissolved_solids,309.0,2.591252416667316,273.85827570000004
SA,30m+,2019-12-03,total_dissolved_solids,306.7894737,2.4789451002598804,
SA,30m+,2019-12-06,total_dissolved_solids,326.0,3.4549491656842286,278.4815341
