location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus,nitrogen
SA,0-10m,09/11/2018,23.56241388,2.154392242,8.838192569,7.156022971,7.825,3.806207836,240,0.522043992,0.780774909,14.41372696,4.76274475,12.2176682,31.01448871
SA,10-30m,09/11/2018,22.87597701,2.292796284,8.437050324,5.613058152,5.591825716,3.665762158,253.689992,0.440224698,7.812883464,17.53195178,9.185568768,29.31896891,64.79294375
SA,30m+,09/11/2018,20.82288371,0.955967506,7.812299512,1.74400312,2.875384958,2.648432266,273.7770876,0.430155608,127.7983502,48.12025241,3.48693013,58.52704314,158.6140112
WP,0-10m,09/11/2018,23.93497566,1.168142086,8.818702189,7.235881621,7.0625,3.1,236,0.645236564,10.02181814,18.86833385,29.00322254,29.03991088,60.39273736
WP,10-30m,09/11/2018,23.01788505,1.141444644,8.610225941,6.290843854,5.001764236,3.758567666,254.329225,0.842526571,8.402599056,15.30464834,8.845351535,39.64411617,62.04281476
WP,30m+,09/11/2018,20.45737218,0.607910177,7.949165391,2.382428583,6.820335726,1.656830851,290.3180413,0.354726065,82.76506886,40.62166415,7.583099203,51.92266967,116.7787155
SA,0-10m,14/11/2018,22.65985441,2.714807095,8.85264826,6.845965565,5.925,2,225,0.514350076,7.57,6.595,10.745,32.17,28.48042673
SA,10-30m,14/11/2018,22.61309561,2.92694664,8.758259159,6.509340192,5.412691427,2.998850727,278.7187064,0.558501528,9.795,18.21,9.76,15.71559783,68.82
SA,30m+,14/11/2018,21.09750154,0.954088856,7.902366652,1.841741902,3.944382067,2.08435752,285.3512164,0.532459401,41.11,41.06666667,21.81666667,65.72,113.7533333
WG,0-10m,14/11/2018,22.82577535,2.588485818,8.985271202,6.958515133,6.25,2.5,222,0.487912239,8.44,5.255,9.36,20.335,54.03377478
WG,10-30m,14/11/2018,22.65657038,3.293684184,8.891291402,6.59731556,6.885300759,2.858305982,290.3456844,0.359539287,6.423333333,10.09333333,9.46,32.57,44.627473
WG,30m+,14/11/2018,20.3448269,0.469331029,7.782876255,2.03328206,6.233274939,1.802592893,269.6356243,0.087641872,44.119,37.91,8.575,52.776,128.732
WG,0-10m,04/12/2018,21.74121944,1.382873584,8.812434307,6.732023783,8.747207825,2.5,286.2464493,0.269361939,2.08139588,18.92169203,4.792257385,28.92969072,23.35
