location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
SA,0-10m,2015-07-14,22.84,1.252,8.614,7.168,5.4,1.359122679,,,,,,
SA,10-30m,2015-07-14,22.7295,1.7125,8.644,7.146,5.4,1.359122679,,,,,,
SA,30m+,2015-07-14,20.87621212,0.723636364,8.062424242,3.436818182,5.4,1.359122679,,,,,,
WP,0-10m,2015-07-14,23.291,0.609,8.692,7.306,7.5,1.625084746,,,,,,
WP,10-30m,2015-07-14,22.627499999999998,1.403,8.6025,6.9725,7.5,1.625084746,,,,,,
WP,30m+,2015-07-14,20.68827509,0.765129396,8.077233473,3.775828198,7.5,1.625084746,,,,,,
WG,0-10m,2015-07-15,23.028,0.445,8.762,7.235,10.375,2.512043873,,,,,,
WG,10-30m,2015-07-15,22.865000000000002,0.7635000000000001,8.692,7.296,10.375,2.512043873,,,,,,
WG,30m+,2015-07-15,20.58509288,0.632755384,8.011275893,3.407156548,10.375,2.512043873,,,,,,
WG,0-10m,2015-08-12,22.007,2.06,8.649,7.024,4.65,1.1,,,,,,
WG,10-30m,2015-08-12,22.0015,2.2045,8.6015,7.0245,4.65,1.1,,,,,,
WG,30m+,2015-08-12,20.86639391,0.783985889,8.177683674,3.691555423,4.65,1.1,,,,,,
WP,0-10m,2015-08-12,22.055,1.101,8.373,7.26,6.73,2.0,,,,,,
WP,10-30m,2015-08-12,21.9795,2.046,8.370000000000001,7.15,6.73,2.0,,,,,,
WP,30m+,2015-08-12,21.22329094,1.057001481,8.092026867,4.677877653,6.73,2.0,,,,,,
SA,0-10m,2015-09-06,23.843,0.711,8.737,7.373,5.1,1.342994724,,,,,,
SA,10-30m,2015-09-06,22.9915,0.933,8.52,6.7655,5.1,1.342994724,,,,,,
SA,30m+,2015-09-06,20.6980303,0.539393939,7.950227273,3.639924242,5.1,1.342994724,,,,,,
WG,0-10m,2015-09-06,24.026,0.298,8.97,7.432,6.8,0.6,,,,,,
WG,10-30m,2015-09-06,23.0965,0.5900000000000001,8.842,7.2535,6.8,0.6,,,,,,
WG,30m+,2015-09-06,20.54812669,0.369642739,8.251306574,3.286433647,6.8,0.6,,,,,,
WP,0-10m,2015-09-06,24.01,0.586,8.988,7.414,3.9,0.6,,,,,,
WP,10-30m,2015-09-06,22.8035,0.6705,8.784500000000001,6.9055,3.9,0.6,,,,,,
WP,30m+,2015-09-06,20.55391667,0.315607143,8.332375,4.078017857,3.9,0.6,,,,,,
SA,0-10m,2015-09-09,23.729,1.594,8.97,7.817,5.75,1.379155029,,,,,,
SA,10-30m,2015-09-09,23.435000000000002,2.3905,8.507,7.211,5.75,1.379155029,,,,,,
