,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
160.0,,,,,,,,,,,,,,,,0.179,,,,,,,,,,,,,0.098,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,0.3936561533366584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46890999802412725,,,,0.4860390597100577,,,0.47255823447751577,,,,,,,,,,,,,,,,
170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4618217721988941,,,,,,,,,,,0.48335171561545864,,,,,,,,,,,,,,,0.4818784839559678,,,,,,0.4734487526165624,
180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20500000000000002,,,,,,,,,,,,,0.6411447097754751,,,,,,,,,,,0.42003317646438826,,,,,,,,,,,,,,,,,,,,0.446533976739867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190.0,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45259426990482804,,,,,,,,,,,,,,,,,,,,,,,,0.4923004011929094,,,,,,,,,,,,,,0.4773704715137638,5.485078287166776,,
200.0,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44986235216623405,,,0.4557627152321036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3806925482896752,,,,,,,,,,,,,,,,0.45097306016543054,,,,,,0.4745425737588934,,,,,,,,,,,,,,,,,0.47463595673757314,,,,,,,,,,,,,
220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3853613195445621,,,,,,,,,,,,,,,,,,,,0.45952845026194583,,,,,,,,,0.4983004133020626,0.5003519953157683,,,,,,,,,,,,,,,,,,,,,,
230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3861843602500121,,,,,,,,,,0.4449909124855199,0.4533908407594615,,,,0.4664760393555977,,,,,,,,,,,,0.47030075469349997,0.4712086676009151,,,,,,,,,,,,,,,,,,,,,,,,
240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4773933975516272,,,,,,,,,,,,,,,,,0.48188754294821023,,,,,,,,,,
250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.463234023929474,,,,,,,,0.47298810764094323,,,,,,,,,,,,,,,,,,,,,,,,0.4847763799245056,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49021039818595874,,,,,0.4950892694980184,,,,,,,,,,,
