,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
100.0,,,,,,,7.6739999999999995,,,,,,,,,,,,,,,,,,,7.331999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09629591392735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11,,,,,,,,,,,,,,,,,,,,,,,8.664099390802074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.377855462499504,,,,
120.0,,,,,,,,,,,,,,,,,,,,,8.049000000000001,,,,,,,,8.044,,,7.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.868303217917481,7.826664629992953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.549998119981241,,,6.466040651212985
130.0,,,,,7.962000000000001,8.117999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.159211848288168,,,,,,,,,,,7.846721912010298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140.0,,,,,,8.091,7.5840000000000005,,,,,,7.8340000000000005,,,,,,,,,,,,,,,,,,,,,,8.955,,,,,,,,,,,,,,,,,,,,8.148199037914743,,,,,,,,,,,,,,7.300533396373979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.796125713388534,,,,,6.727076635161646,,,,,,,,,,,,,,
150.0,,,,,,,,9.01,,,,,,,7.967999999999999,,,,,,,,,,8.081999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.970685199933522,,,,,,,,6.747780731065521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8340000000000005,,,7.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.977766810620207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1579999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,8.05615618026228,,,,,,,,,,,,,,,,,,,,,6.244448898070992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.038856947618973,,,,,,,,
180.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.383,,,7.734999999999999,,,,,7.615,,,,,,,,,7.764999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.793097440725154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.426556752477543,,,,,,,,,,,
190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.599140239152897,,,,,,,,,,,,,,,,,
200.0,,,,,,,,,,,,9.52,,,,,,,,,,,,,,,7.973333333333334,,,7.923333333333333,,,,,8.754999999999999,,8.043333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0751614535122345,,,,,,,,,,,,,,,,,,,,,,,,,
210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.891062511492608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.274850418695104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.774827416389611,,,
230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.826993623388573,,,,,,,,,,,,6.199554664402089,,,,,,6.453115597997543,,6.794239700203738,,,,,,,,,,,,,,,,,,,,
240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.261670012695081,,,,,,,,,,7.576642441454675,,,,,,,,,,,,,,,,,,,,,7.3509438305962505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.995657276239092,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.104530908895738,,,,,,,6.948000106281458,,,,,,,,,,,,,,,6.4258525798071915,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
