Sitio,Fecha,Profuidad (m),Depth Group,Temp. (°C),Chl a (µg/l),Ph (Unidad),Turbidity (NTU),DO (mg/L),TDS (mg/l),DBO (mg/l),Sechi  (m),NO3 (µg/L),PO4 (µg/L),NH4 (µg/L),NT (µg/l),PT (µg/l)
SA,2022-07-12,39.5,30+ m,20.98317132756811,0.7861187998759023,6.981247418856462,0.4750195648395549,3.375012810592232,251.3389017418779,1.759636564754,10.90502735886119,106.2207977388661,68.36855172413794,9.684769230769232,197.6773855367026,19.71
WP,2022-07-12,19.5,10-30 m,22.62189742919599,1.43527789297327,7.807976180640952,0.5344533390486312,6.603049699947706,245.8450864422207,3.353408884574165,6.472297999468301,60.80480952380953,29.57389655172414,8.446307692307693,35.60221715265708,14.52
SA,2022-07-12,4.5,0-10 m,23.14589007774057,1.612001429376783,8.623072322266845,0.6619162527939827,7.412561997881651,245.8043570679087,2.8,5.7125,17.81328395061729,27.32493103448276,13.02861538461539,5.947578110889047,13.92
SA,2022-07-12,19.5,10-30 m,22.688415664032,1.522474197411154,7.758933806121647,0.5389881052046831,6.431702521541372,247.1230168958687,3.583197063283182,5.386376873210986,30.65414814814815,29.57389655172414,11.29476923076923,24.50166788780441,12.92
WG,2022-07-12,4.5,0-10 m,23.23836849855636,1.028654290163353,8.740346535250195,0.40660003537703,7.196972857123507,245.0,2.0,6.9625,19.45254320987654,17.7668275862069,15.38169230769231,0.0,15.52
WG,2022-07-12,161.0,30+ m,20.48264987284098,0.5235278994142599,6.83179119271584,0.2480444293724706,1.088121649102723,249.2159358464664,0.4852810067795355,7.389338219380041,95.83421869488535,124.2334798850575,43.42060638776429,212.3983488087283,33.58703703703704
WG,2022-07-12,19.5,10-30 m,22.77247593605568,1.354272816881843,8.341864381779223,0.4329950140226603,6.578314934264336,245.8131542997096,3.254679829158832,6.24441370766568,12.80443621399177,20.01579310344827,12.12041025641025,11.9293123461235,11.38666666666667
WP,2022-07-12,4.5,0-10 m,23.56818924269992,1.159909358192624,8.55198912065489,0.9356623113447362,7.345525120989478,245.6016935362995,3.1,4.225,58.98503659611993,28.44941379310345,7.579384615384617,49.89115734314066,18.935
WP,2022-08-09,4.5,0-10 m,23.01833219316259,1.340175018704314,8.44876921236984,0.542208742915953,7.12143524463839,245.2361214282176,3.6,6.525,12.72475,12.37261764705883,6.041333333333333,1.355544969654346,10.92307692307692
SA,2022-08-09,4.5,0-10 m,23.15486612914331,1.895803955199936,8.679319410867677,0.5760919076227334,7.091904845258663,246.0,2.8,6.774999999999999,10.20997727272727,11.89305882352941,5.888000000000001,0.0,10.92307692307692
WP,2022-08-09,68.0,30+ m,20.76546489884059,0.6364677520612813,6.598458526833829,0.8645183021539226,3.105657488123698,249.0809183653629,2.277690681371668,9.366475398292922,181.7461265822785,40.95329222011385,3.945777777777778,196.3946439554762,23.04846153846154
WP,2022-08-09,19.5,10-30 m,22.73497031284383,1.872225166113565,7.425590074158376,0.5150927267668439,6.771828587416489,246.0265611767231,4.07841172213689,4.962332488112357,12.47327272727273,17.64776470588236,5.274666666666667,5.018012327367146,12.26923076923077
WG,2022-08-09,4.5,0-10 m,22.97930542983302,1.175999997792578,8.740958363619105,0.4398197079065419,7.046548124626494,246.0,3.1,8.2875,7.946681818181819,16.68864705882353,7.421333333333333,0.0,9.76923076923077
WG,2022-08-09,19.5,10-30 m,22.75848875037182,1.623760761646925,8.219412683658769,0.4459419490691582,6.639880972434899,246.1483949818294,3.547703045396863,5.809662361324454,15.91012878787879,24.36158823529412,6.910222222222223,7.351151532453777,8.423076923076925
SA,2022-08-09,39.0,30+ m,21.00949387819091,0.8488913549633915,6.589315422648258,0.5344539660043169,2.813624392181288,252.3569643781269,3.052950543676949,7.467601329713807,93.20543541426926,52.77312808349146,3.434666666666667,150.1002903912757,17.65384615384616
WG,2022-08-09,161.5,30+ m,20.48685240453561,0.5407742537736391,6.568204203459878,0.1657996693235784,1.080956184316918,249.1376443066591,0.6759531459809027,7.497868644197229,69.89851470400204,105.5648197343453,45.54484210526315,201.9850516608786,29.68837606837607
SA,2022-08-09,19.5,10-30 m,23.01209374146605,2.143238680851568,7.513050362298205,0.5656635967895848,6.750752145415471,246.2639675496649,4.409092694254806,4.15392576975165,16.49690909090909,21.00467647058824,4.201333333333334,1.501941326077869,12.46153846153846
SA,2022-09-06,19.5,10-30 m,23.12252033646864,2.039392645183015,8.131958321162793,0.510942427607472,6.260608127688299,244.8896269466757,3.668795518071502,5.427753831745309,17.73809861325115,30.18078651115619,9.101866666666668,38.91882410810893,6.642857142857143
WG,2022-09-06,19.5,10-30 m,23.2161332668007,1.767715716435712,8.14614061651144,0.6760488106637607,6.758915434291064,244.9534801268488,3.84886606326937,4.200109545571083,29.66196491228071,25.47203333333333,13.68142222222222,9.999984960250337,8.488095238095239
WP,2022-09-06,19.5,10-30 m,23.1667961308605,1.257955972452013,7.741696003732234,0.8108321443070294,6.639946268453924,243.1515303474423,5.011450288027008,0.0,64.69609876543211,19.6747,9.817422222222223,45.94401383282423,12.53571428571429
WG,2022-09-06,4.5,0-10 m,23.84818502063967,1.099037392556959,8.537675544295029,0.3713930935988434,7.427254032418356,244.0,1.1,7.362500000000001,29.46784210526316,21.8487,12.67964444444445,0.0,8.785714285714285
WP,2022-09-06,63.5,30+ m,20.8400166833437,0.6145742740378046,7.040883204592764,1.079727743051885,3.247886830131951,248.9924291859151,2.482919112402031,7.347938139237566,135.4574567901235,36.1971,5.495466666666667,168.7218241489776,7.892857142857144
SA,2022-09-06,4.5,0-10 m,23.60389643348647,1.74848371945277,8.735566499468508,0.4580292414651889,7.589672919998958,243.9326923271222,2.3,6.925000000000001,46.00351039636128,12.41230527383367,24.53695042735043,0.0,11.28571428571428
SA,2022-09-06,39.0,30+ m,21.16413698353065,0.926299495857779,7.054065608679847,0.3418860911521904,2.244899803335983,253.4942765338438,2.074424181989066,11.04368808588032,59.82065346068479,80.22059999999999,9.101866666666668,224.8716835913004,8.428571428571429
WG,2022-09-06,161.0,30+ m,20.49596528266225,0.5464479093684942,6.70264185349491,0.1679003745728216,0.9610412302849651,249.5374830046238,0.3664106431429435,7.759969700307796,90.2536844271172,115.8862777777778,49.02203836657171,215.4253034644335,33.02857142857143
WP,2022-09-06,4.5,0-10 m,24.21986503743888,1.421275934535192,8.345549304084788,1.185221517097949,7.626079014861713,243.5022438418464,3.9,4.325,71.52634567901235,28.9142,4.236088888888889,40.78523372371845,8.607142857142858
WP,2022-10-18,4.5,0-10 m,23.47225693808865,1.771651447509493,8.588689756285651,0.9856182142401002,7.139528106121981,241.2484247932545,4.5,4.612500000000001,23.66784745762712,15.74275862068966,8.547636363636364,56.70428237317175,18.53219696969697
WG,2022-10-18,4.5,0-10 m,23.149471259312,1.595089441749359,8.854732805223652,0.6767598229498508,7.216991368610286,242.0,3.4,7.575,20.85471186440678,23.61413793103448,14.69490909090909,0.0,15.95454545454545
WG,2022-10-18,161.5,30+ m,20.51139194810218,0.5197608980217081,6.855082328405046,0.2593022920811178,0.8959130273593566,248.8343774075277,0.0686019975867338,6.470336163733501,62.56526197383825,123.7930574712644,58.02756122629806,208.9967737669131,36.20496632996633
SA,2022-10-18,39.5,30+ m,21.2108250237517,0.9348268630073651,6.482682036534202,0.4261926004762857,2.012067679087566,252.1754574088588,3.163642704751828,5.19907213146192,26.43587150710032,66.02213103448277,16.01218181818182,138.1415852226919,24.3844696969697
WP,2022-10-18,19.5,10-30 m,22.84054453011703,2.113781885489784,7.886061587652968,1.106571561847215,6.436209664117759,241.0973693898879,3.850354645692151,2.71710217744792,13.91564406779661,5.060172413793104,10.45036363636364,19.40886743922442,17.37689393939394
SA,2022-10-18,19.5,10-30 m,22.79417387529503,2.816339095109951,7.628537212004765,0.564287952444879,6.432340973960275,242.6745523170319,3.681288721074041,3.524757299235304,18.97928813559322,39.35689655172414,11.03581818181818,12.0310951938386,14.59090909090909
WG,2022-10-18,19.5,10-30 m,22.95237417852692,2.220563523741919,8.57365722607306,0.5440397777225287,6.756002182186267,242.0,3.288443727916189,4.370482618707602,41.48437288135593,38.4198275862069,8.889151515151516,14.55032527626314,13.0
SA,2022-10-18,4.5,0-10 m,22.98700160847761,2.969971890203756,8.61826800491068,0.6132482738786554,7.282552036428839,242.0,3.4,6.025,13.72810169491526,12.93155172413793,23.03789314194577,8.1867651090554,13.45454545454545
WP,2022-10-18,65.0,30+ m,20.89044745104722,0.6319574847688768,6.966174358319752,1.228402505449913,2.503713775964135,249.0892465929523,3.373098758034354,7.517568696135891,32.78358947930982,46.4836183908046,5.913090909090909,137.7107201519103,13.53030303030303
WP,2022-11-08,19.5,10-30 m,22.87963917947443,1.72075737118904,8.4328378290003,1.304749300500594,6.381312222576581,241.6141288836087,3.210606285478827,3.937793801686817,36.6664585399696,12.93155172413793,7.2128,78.50428056374166,12.04761904761905
WG,2022-11-08,4.5,0-10 m,23.13765934780795,1.172537173937787,8.626571339558081,0.3882442109076518,7.209197224445541,241.0,2.8,8.8,24.50716752640629,19.11620689655172,10.21813333333333,1.281398072531829,10.38095238095238
WG,2022-11-08,19.5,10-30 m,23.01015118015741,1.881423000106341,8.326009917333584,0.4120307447812966,6.909260588103955,241.1459988990819,2.899653448739331,7.532988989542337,31.45438933922869,30.94067857142857,11.84781111111111,39.1257377682295,10.3015873015873
WP,2022-11-08,64.5,30+ m,20.86424536443615,0.8045489021594023,7.671187560693675,1.37707726784794,2.357090506742535,249.2013208651974,1.76857597550256,7.687199253034217,78.76753582856992,56.01932142857142,10.00454,155.221828632639,13.19254658385093
WP,2022-11-08,4.5,0-10 m,23.38460128201135,1.83476295667979,8.651827971533354,0.7860149113822514,7.274334239645304,240.7061695568373,3.6,4.9,63.39084264773246,19.3973275862069,7.642133333333333,72.62333102262505,9.42857142857143
WG,2022-11-08,161.5,30+ m,20.51563503102687,0.605325315097611,7.346830380133603,0.2224299692031692,0.9090708610799686,249.1434815014686,0.0,7.951673629050615,109.5822881064163,131.3587738095238,61.6802925925926,229.5887536469644,36.33563377041638
SA,2022-11-08,19.5,10-30 m,22.82747033085575,1.850233511671835,8.252098970809314,0.4560616358896602,6.001341605713844,243.3991775870018,3.015943898744973,6.483911005624476,60.21853521126761,31.32889285714286,13.43813333333333,45.64791176054341,20.03416149068323
SA,2022-11-08,4.5,0-10 m,23.02968620158615,2.414392746325345,8.473295126734657,0.4650156688620299,7.07486220061335,242.3145443636893,3.9,6.625,18.55085558073841,34.2405,8.071466666666666,23.35038608559717,18.0
SA,2022-11-08,39.5,30+ m,21.31989107226438,0.8302149003331362,7.441458745947571,0.4857988553498535,1.938095021101621,252.671949267301,2.120249880006988,10.73729792514784,58.29535016796459,81.4085357142857,5.066133333333333,229.5887536469644,24.52173913043478
WG,2022-12-06,161.5,30+ m,20.54639548677261,0.6228776288590007,6.751940414724537,0.162381473701695,1.038944618484172,248.2053552783835,0.02596680667934459,8.475944799503793,81.86304437356611,89.48050727969348,57.51524670433145,215.8919321791282,31.96969696969697
WG,2022-12-06,19.5,10-30 m,21.74331068192478,2.761151705012338,8.155099827941287,0.4132722637688299,6.372512303917494,244.0,1.735926761925788,7.365290905319084,21.42440579710145,11.80706896551724,20.66361581920904,33.86819783351347,8.818181818181818
WP,2022-12-06,19.5,10-30 m,21.6850819022408,2.508500698805793,7.97183671432096,0.5606841391204271,6.22601617337763,244.0,1.696756402228538,7.437781919011181,59.41727301214257,20.80293103448276,20.286,57.81898115379573,11.31818181818182
WG,2022-12-06,4.5,0-10 m,21.73569819817535,2.036528028323897,8.398409873892511,0.3569055276156613,6.511771525404693,244.0,2.2,6.9,28.1596231884058,14.61827586206897,25.35496610169492,29.27435934577403,9.954545454545453
WP,2022-12-06,4.5,0-10 m,21.80169252212338,1.461152685638587,8.437880916820395,0.523623557007971,6.385192728169757,244.0,1.7,5.825,60.03797874756603,23.05189655172414,17.066,62.67663890364859,11.31818181818182
WP,2022-12-06,60.0,30+ m,20.92746133977792,0.9976807887818326,7.230685477151588,0.9482824418426093,3.067985094430764,248.2591979439673,1.848606342242558,7.718341036024718,124.75148217783,32.4848075862069,18.078,172.7329371133676,16.73636363636364
SA,2022-12-06,19.5,10-30 m,21.65971531860873,2.5066504953755,7.686267944496815,0.5773662010117095,6.257991426287434,245.0,1.426575195536966,7.705350310579716,63.25924569640063,33.17224137931035,26.23988135593221,47.61920636785118,17.47727272727273
SA,2022-12-06,40.0,30+ m,21.02010855393965,2.184938887228333,7.285017063030481,0.8511015651467763,5.757669235014357,246.184950141074,1.537795825917048,5.75816301076292,90.15482882882884,47.79051724137932,33.19692655367232,95.12504838047698,20.21212121212121
SA,2022-12-06,4.5,0-10 m,21.72060968170988,1.953923496321387,8.473870870849122,0.5266652585372291,6.99137913390758,245.0,2.2,6.2,23.37360946656156,29.79879310344828,17.04386150024839,42.63619409948271,11.77272727272727
SA,2023-01-17,39.0,30+ m,20.72032603561492,2.030586342209328,7.20642001016366,0.8810355498304295,6.287206267749386,248.0,0.2312348171365781,7.295109664134834,92.29511764705882,41.77137187499999,27.15015558452847,102.9410092428801,13.75
WG,2023-01-17,19.5,10-30 m,20.98870990736197,2.533527482493247,8.148891601332044,0.3694766460133457,6.488388670160909,246.1087558170425,0.9951970797450567,8.614168503665617,7.233892473118281,11.199496875,19.65175757575757,35.8854854757957,10.69444444444444
WG,2023-01-17,4.5,0-10 m,20.99394838414327,2.138544478812982,8.477310471684161,0.3452283034255467,6.592148399180625,246.0,2.0,7.625,19.41729032258065,9.670903125,37.16196721311475,26.8996973084073,10.41666666666667
WP,2023-01-17,66.0,30+ m,20.75579879024239,1.445818686110582,7.168459775457793,0.7139291692831595,4.161708824927476,247.2860718011653,1.669581305162832,7.731485428166131,98.04457843137256,48.19316406249999,14.04115151515151,132.769206303772,15.1292270531401
