,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
170.0,,,,,,0.849,,,,,,,,,,,,2.7960000000000003,,,,,,,,,,1.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08467856290002002,,,,,,0.08228704327563226,,,,,,,,0.08478865285902673,,,0.08288327417276556,,,,,,0.08814804614495025,,,,,,,,,,,,,
180.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08307772309018394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190.0,,,,,,,,,,,,,,,,,2.8169999999999997,,,,,,,,,,,,,,,,,,,,,,,0.654,,,,,,,,,,,,,2.9584284267139123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08412622689981261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09005003416485619,,,,0.21000000000000002,,
200.0,,,,,,,,0.535,,,,0.0,,,,,,,,,,,,,1.8066666666666666,,1.8766666666666667,,,,,,,,,,0.19000000000000003,,,0.49,,,,,,,,,,,,,,,,,,2.293806397777574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08570987897370799,,,,,,0.09209990198949428,,,,,
210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08336917667305602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09186939265510805,,,,,
220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.687507758049222,3.042892278284722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08248544897263717,,,,,,,,,,,,,,,,,,,,,,,0.08715532105173067,,,,,,,,,,,,
230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.072947947246436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8392512503131537,,,,,,,,,,,,,,,,,,,,,,0.07962560585772992,,,,,,,,,0.08115177263697874,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08647828651234121,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4765682035507373,,,,,,,,,,,,,,,,,,,,,,,,,0.0793230597665146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09178223523208279,,,,
