location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
SA,Surface,2016-12-05,21.665000000000003,1.3119999999999998,8.446000000000002,7.794,6.5,2.400405409,,,,,,
SA,Mid-Depth,2016-12-05,21.624,1.611,8.373000000000001,7.624,,,,,,,,
SA,Lower Photic,2016-12-05,21.546,1.0710000000000002,8.267,7.042,,,,,,,,
SA,Deep,2016-12-05,21.409469696969698,0.7399242424242426,8.110530303030302,6.141666666666668,,,,,,,,
SA,Surface,2017-02-07,20.512,1.383,8.514000000000001,6.282,7.1,2.400373627,,,,,,
SA,Mid-Depth,2017-02-07,20.504,1.5060000000000002,8.441999999999998,6.289,,,,,,,,
SA,Lower Photic,2017-02-07,20.463,1.5100000000000002,8.409,6.161999999999999,,,,,,,,
SA,Deep,2017-02-07,20.359015151515152,1.2718939393939397,8.398787878787878,6.657954545454545,,,,,,,,
SA,Surface,2017-03-13,20.99,1.843,8.084,7.699,4.8,2.400339398,,,,,,
SA,Mid-Depth,2017-03-13,20.618,1.626,8.088,7.011,,,,,,,,
SA,Lower Photic,2017-03-13,20.538,1.225,8.056999999999999,6.535000000000001,,,,,,,,
SA,Deep,2017-03-13,20.448181818181816,0.6609090909090909,7.98090909090909,5.132651515151514,,,,,,,,
SA,Surface,2017-04-18,21.621,0.859,8.206999999999999,7.9,7.0,2.400281064,,,,,,
SA,Mid-Depth,2017-04-18,21.455,1.117,8.247,7.802000000000001,,,,,,,,
SA,Lower Photic,2017-04-18,21.263,0.961,8.186,7.253,,,,,,,,
SA,Deep,2017-04-18,20.57977272727273,0.5663636363636363,7.957348484848485,4.93189393939394,,,,,,,,
SA,Surface,2017-05-16,22.95,0.729,8.174,7.943,8.5,2.400211903,,,,,,
SA,Mid-Depth,2017-05-16,22.441,0.902,8.114,7.467,,,,,,,,
SA,Lower Photic,2017-05-16,21.528,0.639,7.939,6.654000000000001,,,,,,,,
SA,Deep,2017-05-16,20.648030303030303,0.3054545454545455,7.767803030303028,3.893787878787879,,,,,,,,
