location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
SA,Deep,09/11/2021,21.28779715,1.781399917,6.905632786,2.175244297,,,250.95305,0.554843168,164.8490877,94.1342,30.9342069,32.30434783
SA,Surface,07/12/2021,21.73407955,2.641214478,8.485185921,7.093130618,6.125,1.1,245,0.505469264,16.17948889,15.4283871,25.19178384,9.272727273
SA,Mid-Depth,07/12/2021,21.61226953,9.911594147,8.346571685,6.820217239,,,244.9961021,0.677208748,8.311044444,11.57129032,13.041,10.18181818
SA,Lower Photic,07/12/2021,21.51393454,10.51291917,8.205830432,6.344713051,,,245.9863565,0.95769437,10.76993333,14.72709677,6.332666667,12
SA,Deep,07/12/2021,21.41431248,10.56207562,8.121347648,6.077186808,,,246.9468098,1.165561305,34.37526667,15.77903226,8.211,12.90909091
SA,Surface,18/01/2022,20.97944742,2.216398457,8.443497406,6.76468717,6.8,0.6,247,0.335414238,17.72669744,98.917,53.93012121,28.78666667
SA,Mid-Depth,18/01/2022,20.92612163,3.138322616,7.896820312,6.604742297,,,247,0.374596068,24.98987692,124.4196923,43.00163636,28.12
SA,Lower Photic,18/01/2022,20.82401081,1.796338697,7.648760691,6.249096878,,,247.774029,0.446705185,40.65110769,140.7246923,54.12527273,26.52
SA,Deep,18/01/2022,20.75282979,1.123783798,7.397001556,5.883061921,,,248.9151877,0.646016951,31.8672,143.2331538,75.20163636,44.12
SA,Surface,08/02/2022,20.89531005,2.453386321,8.601195845,6.942781885,7.05,3.1,247.6518563,0.421135699,51.32797623,25.59709677,36.72231111,10.6031746
SA,Mid-Depth,08/02/2022,20.8191951,3.314302604,7.991984142,6.647760854,,,247.5142496,0.458798378,91.22061017,22.09064516,10.13226667,8.857142857
SA,Lower Photic,08/02/2022,20.73860007,3.239614031,7.664514326,6.372147058,,,248.9168036,0.570849554,97.97213559,139.5096563,20.43626667,26.79166667
SA,Deep,08/02/2022,20.68923534,5.486336593,7.529012868,6.315880611,,,249.1705864,1.009642621,62.71416949,21.03870968,23.87093333,10.76190476
SA,Surface,08/03/2022,20.79481648,2.616242697,7.818140405,7.546786116,4.55,1.4,237.8456927,0.434905653,8.875052083,16.67768571,6.68381893,12.71014493
SA,Mid-Depth,08/03/2022,20.62708532,1.545225879,7.766240738,6.732644118,,,248,0.463922801,36.30703125,27.85825714,13.30933333,12.56521739
SA,Lower Photic,08/03/2022,20.56657233,0.961729975,7.755379973,6.367975296,,,248.7702285,0.548760907,56.71116484,26.92654286,24.28118519,13.86956522
SA,Deep,08/03/2022,20.48488839,0.685436704,7.72612817,6.251899915,,,250.5590246,0.899101864,98.5392967,43.6974,56.36192593,14.73913043
SA,Surface,05/04/2022,22.04143081,2.121317361,8.186896191,7.589467175,5.225,2.2,249.3228475,0.527647649,57.52104215,121.5427037,3.235117371,11.775
SA,Mid-Depth,05/04/2022,21.45218522,3.374976476,7.773333658,6.902209286,,,249.0272691,0.514056545,37.44294253,46.01633333,6.077183099,11.06071429
SA,Lower Photic,05/04/2022,21.12027963,3.016243492,7.419239628,5.911869195,,,251.4782508,0.403178256,227.5574483,60.50966667,3.90028169,15.70357143
