location,date,depth_group,depth,temp,chlorophyll_a,ph,turbidity,dissolved_oxygen,total_dissolved_solids,biochemical_oxygen_demand,secchi,nitrate,phosphate,ammonium,phosphorus,nitrogen
WG,2015-08-11,0-10m,5.009090909090909,23.88272727272727,1.0727272727272728,8.911818181818182,,7.875454545454545,300.0,4.8,7.9,,9.5,,11.0,
WG,2015-08-11,10-30m,20.5,23.1585,1.581,8.78,,7.404000000000001,300.0,,,,29.0,,17.3,
WG,2015-08-11,30m+,114.0,20.39497005988024,0.3032934131736526,8.006107784431137,,2.7308383233532934,300.0,,,,34.5,,,
SA,2015-09-09,0-10m,5.009090909090909,23.722727272727276,1.6627272727272726,8.952727272727273,,7.820909090909091,300.0,,5.75,,,,,
SA,2015-09-09,10-30m,20.5,23.3845,2.3285,8.4725,,7.108,300.0,,,,,,,
SA,2015-09-09,30m+,44.5,20.87357142857143,0.5432142857142856,7.853214285714285,,2.298928571428572,300.0,,,,,,,
WG,2015-09-09,0-10m,5.009090909090909,23.820909090909087,2.35,8.87,,8.043636363636365,300.0,0.8,6.0,20.2885,2.0,,207.65,
WG,2015-09-09,10-30m,20.5,23.5045,2.469411764705882,8.683,,7.4015,300.0,,,7.499,17.0,,221.0,
WG,2015-09-09,30m+,113.0,20.417939393939395,0.2775757575757575,8.069636363636363,,2.6964242424242424,300.0,,,12.484,54.35,,186.3,
WP,2015-09-09,0-10m,5.009090909090909,24.08272727272728,2.571428571428572,9.047272727272729,,8.176363636363636,300.0,2.5,5.5,13.316,9.65,,23.65,
WP,2015-09-09,10-30m,20.5,23.383000000000003,1.5165,8.6505,,7.1045,300.0,,,20.123,17.3,,26.3,
WP,2015-09-09,30m+,72.5,20.58440476190476,0.3519047619047619,7.932142857142857,,2.555357142857143,300.0,,,18.962,57.85,,23.15,
SA,2015-10-06,0-10m,5.009090909090909,23.887272727272727,1.893636363636364,8.957272727272727,,7.972727272727273,300.0,,6.05,,,,,
SA,2015-10-06,10-30m,20.5,23.367,1.5725,8.628499999999999,,6.6245,300.0,,,,,,,
SA,2015-10-06,30m+,44.5,20.982142857142858,0.4275,7.982857142857143,,2.024642857142857,300.0,,,,,,,
WP,2015-10-06,0-10m,5.009090909090909,24.5,1.0036363636363637,8.725454545454546,,8.125454545454547,300.0,2.5,6.6,7.541499999999999,12.5,,5.6,
WP,2015-10-06,10-30m,20.5,23.3255,0.9395,8.264,,6.656000000000001,300.0,,,14.033,17.0,,4.0,
WP,2015-10-06,30m+,67.5,20.607432432432432,0.2927027027027027,7.921756756756757,,2.5716216216216217,300.0,,,18.9935,53.5,,19.95,
WG,2015-10-07,0-10m,5.009090909090909,23.94,1.2518181818181815,8.02909090909091,,8.158181818181818,300.0,1.7,7.55,21.115,4.0,,4.0,
WG,2015-10-07,10-30m,20.5,23.656,1.4985,8.096,,7.795,300.0,,,13.369,9.0,,13.3,
WG,2015-10-07,30m+,114.0,20.420898203592813,0.2301796407185628,7.926467065868263,,2.717065868263473,300.0,,,8.013349999999999,45.0,,15.65,
SA,2015-11-11,0-10m,5.009090909090909,23.527272727272727,,8.903636363636364,,7.245454545454546,224.3636363636364,,6.0,,,,,
SA,2015-11-11,10-30m,20.5,23.435,,8.685500000000001,,6.342499999999999,225.65,,,,,,,
SA,2015-11-11,30m+,48.333333333333336,21.3,,7.873333333333334,,2.4,229.66666666666663,,,,,,,
WG,2015-11-12,0-10m,5.009090909090909,23.518181818181816,,8.978181818181818,,7.344545454545455,223.0909090909091,1.7,6.0,9.323,30.0,,8.0,
WG,2015-11-12,10-30m,20.5,23.37,,8.872,,6.6315,223.85,,,5.112,39.0,,21.0,
WG,2015-11-12,30m+,103.63636363636364,21.263636363636365,,7.946363636363636,,3.203636363636364,226.9090909090909,,,6.916,42.5,,8.0,
WP,2015-11-12,0-10m,5.009090909090909,23.472727272727276,,8.967272727272727,,7.08909090909091,223.0,2.2,4.6,,3.0,,18.0,
WP,2015-11-12,10-30m,20.5,23.26,,8.795,,5.6345,223.6,,,5.112,3.0,,54.0,
WP,2015-11-12,30m+,70.0,21.357142857142858,,7.918571428571428,,2.887142857142857,227.14285714285717,,,4.659999999999999,44.0,,51.0,
WG,2015-12-08,0-10m,5.009090909090909,22.007272727272728,2.047272727272728,8.645454545454545,,7.0227272727272725,300.0,1.1,4.65,,12.5,,16.0,
WG,2015-12-08,10-30m,20.5,22.001,2.214,8.6,,7.027500000000001,300.0,,,,21.0,,25.0,
WG,2015-12-08,30m+,114.5,20.474166666666665,0.3189880952380952,8.120892857142858,,2.6973214285714286,300.0,,,3.929,53.5,,35.0,
WP,2015-12-08,0-10m,5.009090909090909,22.05090909090909,1.1572727272727272,8.374545454545455,,7.259090909090909,300.0,2.0,6.73,,12.5,,39.5,
WP,2015-12-08,10-30m,20.5,21.9765,2.047,8.367999999999999,,7.1305000000000005,300.0,,,,29.0,,35.0,
WP,2015-12-08,30m+,65.5,20.69557142857143,0.5598571428571428,7.950428571428571,,3.105714285714286,300.0,,,16.28,30.0,,25.0,
SA,2016-01-19,0-10m,5.009090909090909,21.549090909090907,1.88,7.976363636363636,,7.324545454545454,300.0,,6.7,,,,,
SA,2016-01-19,10-30m,20.5,21.5195,2.2365000000000004,7.8205,,7.161,300.0,,,,,,,
SA,2016-01-19,30m+,44.0,21.25777777777778,1.4092592592592592,7.49962962962963,,5.1651851851851855,300.0,,,,,,,
WP,2016-01-19,0-10m,5.009090909090909,21.59090909090909,1.4390909090909092,7.771818181818181,,7.320909090909091,300.0,2.0,7.0,,1.56,,8.83,
WP,2016-01-19,10-30m,20.5,21.488,1.7094999999999998,7.7015,,7.0175,300.0,,,,4.16,,8.155000000000001,
WP,2016-01-19,30m+,66.0,20.721549295774647,0.5292957746478874,7.304507042253521,,3.546338028169014,300.0,,,22.496,7.531999999999999,,26.136000000000003,
