month_year,Year,Month (num),Month,Day,date,Location,Municipality,X,Y,Altitude,Time,Temperature,Ambient T,Temp change,pH,depth,Total_Dissolved_Solids,Sediments,O2,O2,Salinity,Conductivity,Flow,flow,phosphate,Nitrates,Turbidity,Fecal_Coliforms,BOD,Total_Nitrogen,Total_Phosphorus,ICA,Quality,Colour
17,2016,5,May,3,03/05/2016,Rio San Buenaventura,Panajachel,428435,1631162,1596,,18.5,,,8.34,75,98.8,0,7.71,100.5,0.1,207.7,43.24,0.043,,,,,,,,,,
17,2016,5,May,3,03/05/2016,Río San Francisco,Panajachel,430805,1631438,1637,,22.3,,,8.69,12.4,95.6,0.5,7.8,110,0.09,201,179.37,0.179,,,,,,,,,,
17,2016,5,May,18,18/05/2016,Río Quiscab,Sololá,426160,1630385,0,,24.9,,,8.53,7,86.2,0.5,7.15,105.4,0.08,181.5,391.47,0.391,,,,,,,,,,
17,2016,5,May,18,18/05/2016,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,23.8,,,8.4,32.6,58.3,0.5,7.22,103.2,0.06,123.3,483.59,0.483,,,,,,,,,,
18,2016,6,Jun,2,02/06/2016,Río La Catarata,Panajachel,428286,1631202,0,,18.6,,,8.35,15,94.4,0.1,7.88,101.6,0.09,198.5,24.9,0.024,,,,,,,,,,
18,2016,6,Jun,2,02/06/2016,Rio San Buenaventura,Panajachel,428435,1631162,1596,,18.9,,,8.36,4,82.8,0.1,7.86,102,0.08,174.5,18.62,0.018,,,,,,,,,,
18,2016,6,Jun,2,02/06/2016,Río San Francisco,Panajachel,430805,1631438,1637,,22.1,,,8.03,10,83.5,1.5,7.24,100.5,0.08,175.9,322.54,0.322,,,,,,,,,,
18,2016,6,Jun,15,15/06/2016,Río Quiscab,Sololá,426160,1630385,0,,22.3,,,8.26,15,93.5,0.5,7.35,100.8,0.06,193.4,1876.78,1.876,,,,,,,,,,
18,2016,6,Jun,15,15/06/2016,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,21.1,,,8.31,46,61.8,0.5,7.58,99.9,0.06,118,71.15,0.071,,,,,,,,,,
19,2016,7,Jul,13,13/07/2016,Río Quiscab,Sololá,426160,1630385,0,,18.7,,,8.43,13.4,78.2,0.3,7.93,101.9,0.08,164.9,667.71,0.667,,,,,,,,,,
19,2016,7,Jul,13,13/07/2016,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,18.7,,,8.28,18.2,58.4,0.6,7.83,100.6,0.06,123.6,45.53,0.045,,,,,,,,,,
19,2016,7,Jul,14,14/07/2016,Río La Catarata,Panajachel,428286,1631202,0,,17.9,,,8.44,38,104.1,0,7.63,96.8,0.1,218.7,10.65,0.01,,,,,,,,,,
19,2016,7,Jul,14,14/07/2016,Rio San Buenaventura,Panajachel,428435,1631162,1596,,18.4,,,8.42,47,95.8,0,7.62,97.7,0.09,201.3,12.8,0.012,,,,,,,,,,
19,2016,7,Jul,14,14/07/2016,Río San Francisco,Panajachel,430805,1631438,1637,,24.5,,,8.39,5,89.8,0.3,6.84,99.4,0.09,188.9,174.15,0.174,,,,,,,,,,
20,2016,8,Ago,1,01/08/2016,Río La Catarata,Panajachel,428286,1631202,0,,17.9,,,8.43,35,102.4,0,7.63,97.5,0.1,214.5,13.48,0.013,,,,,,,,,,
20,2016,8,Ago,1,01/08/2016,Rio San Buenaventura,Panajachel,428435,1631162,1596,,18.6,,,8.43,61,95.5,0,7.63,98.3,0.09,207.7,18.81,0.018,,,,,,,,,,
20,2016,8,Ago,1,01/08/2016,Río San Francisco,Panajachel,430805,1631438,1637,,22.6,,,8.45,15,91.6,0.3,7.3,102.3,0.09,192.7,193.04,0.193,,,,,,,,,,
20,2016,8,Ago,9,09/08/2016,Río Quiscab,Sololá,426160,1630385,0,,20.7,,,8.11,5,80.1,0.5,7.32,98.2,0.08,168.8,982.17,0.982,,,,,,,,,,
20,2016,8,Ago,9,09/08/2016,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,19.4,,,8.41,25,59,0.2,7.7,100.3,0.06,124.9,52.18,0.052,,,,,,,,,,
21,2016,9,Sep,1,01/09/2016,Río La Catarata,Panajachel,428286,1631202,0,,20,,,8.42,35,98.3,0,7.31,97,0.1,207,27.66,0.027,,,,,,,,,,
21,2016,9,Sep,1,01/09/2016,Rio San Buenaventura,Panajachel,428435,1631162,1596,,19.4,,,8.5,28,103,0.1,7.48,98.1,0.1,216.4,61.31,0.061,,,,,,,,,,
21,2016,9,Sep,1,01/09/2016,Río San Francisco,Panajachel,430805,1631438,1637,,22.1,,,8.17,2,59.2,2.1,7.02,97.6,0.06,125.3,959.25,0.959,,,,,,,,,,
21,2016,9,Sep,6,06/09/2016,Río Quiscab,Sololá,426160,1630385,0,,19.8,,,8.19,11.3,72.3,0.5,7.42,97.4,0.07,152.6,1151.27,1.151,,,,,,,,,,
21,2016,9,Sep,6,06/09/2016,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,18.8,,,8.4,24,59.4,0.4,7.63,98.3,0.06,125.6,115.41,0.115,,,,,,,,,,
22,2016,10,Oct,3,03/10/2016,Río La Catarata,Panajachel,428286,1631202,0,,18.5,,,8.52,19,95,< 0.1,7.49,96.6,0.09,199.8,26.05,0.026,,,,,,,,,,
22,2016,10,Oct,3,03/10/2016,Rio San Buenaventura,Panajachel,428435,1631162,1596,,18.7,,,8.53,26,101.3,-0.1,7.44,96.3,0.1,212.7,25.77,0.025,,,,,,,,,,
22,2016,10,Oct,3,03/10/2016,Río San Francisco,Panajachel,430805,1631438,1637,,21.1,,,8.35,5.5,79.9,0.5,7.12,97.1,0.08,167.2,289,0.289,,,,,,,,,,
22,2016,10,Oct,11,11/10/2016,Río Quiscab,Sololá,426160,1630385,0,,20.6,,,8.43,18,74.6,0.2,7.32,98.1,0.01,157.3,833.03,0.833,,,,,,,,,,
22,2016,10,Oct,11,11/10/2016,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,20.3,,,8.39,25,58.3,0.5,7.22,97.9,0.06,123.3,71.74,0.071,,,,,,,,,,
23,2016,11,Nov,2,02/11/2016,Río La Catarata,Panajachel,428286,1631202,0,,17.3,,,8.41,50,104.6,-0.1,7.51,94.3,0.1,220,12.09,0.012,,,,,,,,,,
23,2016,11,Nov,2,02/11/2016,Rio San Buenaventura,Panajachel,428435,1631162,1596,,18.4,,,8.51,65,102.4,-0.1,7.38,94.8,0.1,215.2,4.58,0.004,,,,,,,,,,
23,2016,11,Nov,2,02/11/2016,Río San Francisco,Panajachel,430805,1631438,1637,,21.5,,,8.43,15,89.6,0.2,7.27,99.8,0.09,188.6,181.13,0.181,,,,,,,,,,
23,2016,11,Nov,8,08/11/2016,Río Quiscab,Sololá,426160,1630385,0,,17.9,,,8.46,43,74.4,0.2,7.69,97.5,0.07,156.9,528.6,0.528,,,,,,,,,,
23,2016,11,Nov,8,08/11/2016,Río Tzununá,Santa Cruz La Laguna,,,,,17.3,,,8.3,31,56.8,0.2,7.59,95,0.06,120.1,53.54,0.053,,,,,,,,,,
24,2016,12,Dic,2,02/12/2016,Río La Catarata,Panajachel,428286,1631202,0,,17.1,,,8.44,100,126,-0.1,7.39,92.3,0.13,264,2.32,0.002,,,,,,,,,,
